opportunity_id,opportunity_name,institution_name,program_type,country,region,nationality_eligibility,african_countries_eligible,citizenship_requirements,residency_requirements,age_limit,academic_level,field_of_study,career_stage,minimum_gpa,language_requirements,work_experience_required,work_experience_minimum,award_amount_min,award_amount_max,award_currency,funding_duration_months,funding_type,tuition_coverage,stipend_amount,health_insurance_included,travel_allowance_included,research_budget_included,number_of_awards,application_opens,application_deadline,notification_date,program_start_date,application_fee,application_process,required_documents,selection_criteria,interview_required,acceptance_rate,mentorship_included,networking_opportunities,professional_development,cohort_based,mobility_requirements,teaching_requirements,research_requirements,publication_requirements,renewable,extension_possible,official_website,application_portal,contact_email,contact_phone,last_verified_date,data_source,notes
OP0031,Vanier Canada Graduate Scholarships,Canadian Federal Government - CIHR/NSERC/SSHRC,Scholarship,Canada,North America,Open to all,All African countries eligible,Canadian citizen OR permanent resident OR international student,Must be nominated by Canadian institution with quota,None,Doctoral (PhD),All fields,Early-career doctoral,Not specified,English or French proficiency required,No,Not applicable,50000,50000,CAD,36,Scholarship,Full tuition covered,50000 CAD per year,Yes,Yes,Yes,166 awards annually,July 2026,Early November 2026,April 2027,September 2027,No fee,Institutional nomination required then national competition,"CV, research proposal, transcripts, 2 reference letters, leadership statement",Academic excellence (50%) + research potential (25%) + leadership (25%),Yes - institutional stage,4-5%,Yes,Yes,Yes,Yes,Must study in Canada,No,Yes - research PhD,No,Non-renewable - 3 years fixed,No,https://vanier.gc.ca/en/home-accueil.html,https://vanier.gc.ca/en/nomination_process-processus_de_mise_en_candidature.html,vanier@cihr-irsc.gc.ca,+1-613-954-1968,2026-02-13,Official website verified 2026-02-13,CAD 150k total over 3 years; prestigious Canadian PhD award; must be nominated by institution
OP0032,Banting Postdoctoral Fellowships,Canadian Federal Government - CIHR/NSERC/SSHRC,Fellowship,Canada,North America,Open to all,All African countries eligible,Canadian citizen OR permanent resident OR international scholar,Must hold postdoc position at eligible Canadian institution,None,Postdoctoral,Health research OR natural sciences OR social sciences & humanities,Postdoctoral researcher,Not specified,English or French proficiency,No,Not applicable,70000,70000,CAD,24,Fellowship,Not applicable - postdoc,70000 CAD per year,Not specified,Yes,Yes - up to 20k research allowance,70 awards annually (23 per agency),July 2026,September 15 2026,February 2027,April-July 2027,No fee,Institutional nomination required,"CV, research statement, up to 5 publications, 2 reference letters, institutional support letter",Excellence of researcher (50%) + quality of proposal (40%) + alignment with agency mandate (10%),Yes - institutional,5%,Yes,Yes,Yes,Yes,Must conduct research in Canada,No,Yes - postdoc research,No,Non-renewable - 2 years fixed,No,https://banting.fellowships-bourses.gc.ca/en/home-accueil.html,https://banting.fellowships-bourses.gc.ca/en/app-dem_guide.html,banting@cihr-irsc.gc.ca,+1-613-954-1968,2026-02-13,Official website verified 2026-02-13,CAD 140k total over 2 years; Canada's premier postdoctoral fellowship; health/natural/social sciences
OP0033,NSF Graduate Research Fellowship Program (GRFP),U.S. National Science Foundation,Fellowship,United States,North America,U.S. citizens OR nationals OR permanent residents only,Not eligible - U.S. only,U.S. citizen OR U.S. national OR U.S. permanent resident,Must attend accredited U.S. institution,None,Master's OR Doctoral,STEM fields (science/technology/engineering/mathematics),Graduate student - early stage,Not specified,English proficiency,No,Not applicable,37000,37000,USD,36,Fellowship,Full tuition & fees covered (up to 12k/year),37000 USD per year stipend,Health insurance support,Conference travel support,Not specified,~2000 awards annually,August 2026,Mid-October 2026,Early April 2027,Fall 2027,No fee,Direct online application via NSF FastLane,"Personal statement, research statement, transcripts, 3 reference letters",Intellectual merit (broader impacts, research potential, STEM leadership),No,~14%,Yes,Yes,Yes,Yes,Must study in U.S.,No,Yes - research graduate program,No,Renewable annually for 3 years of 5-year window,No,https://www.nsf.gov/funding/opportunities/grfp-nsf-graduate-research-fellowship-program,https://www.nsfgrfp.org/,grfp@nsf.gov,+1-703-292-8630,2026-02-13,Official NSF website verified 2026-02-13,USD 111k total stipend over 3 years; 2026 budget $127.3M; 55% decrease from 2024 noted; prestigious U.S. STEM fellowship
OP0034,IDRC Research Awards,International Development Research Centre (Canada),Research Grant,Canada,North America,Canadian citizens OR permanent residents OR developing country nationals,All African countries eligible,Canadian citizen OR permanent resident OR citizen of developing country,Must be enrolled at Canadian university,None,Master's OR Doctoral,Development-related research (health/environment/policy/ICT),Graduate researcher,Not specified,English or French proficiency,No,Not applicable,15000,20000,CAD,12,Research Grant,Partial support,15000-20000 CAD research allowance,Not specified,Yes - to field site,Yes - field research costs,5-10 awards annually,January 2026,April 15 2026,June 2026,September 2026,No fee,Direct online application,"Research proposal (up to 15 pages), CV, transcripts, supervisor letter, 2 reference letters, budget",Research quality + development impact + feasibility + capacity building,No,~10%,Yes - supervisor,Yes,Yes - research training,No,Must conduct field research in developing country,No,Yes - thesis research in developing region,No,Non-renewable - 12 months,Possible with justification,https://idrc-crdi.ca/en/funding,https://idrc-crdi.ca/en/funding/idrc-research-awards,awards@idrc.ca,+1-613-236-6163,2026-02-13,Official IDRC website verified 2026-02-13,Supports field research in developing countries; strong Africa focus; thesis research support
OP0035,McCall MacBain Scholarship,McGill University,Scholarship,Canada,North America,Open to all,All African countries eligible,No restrictions - open internationally,Must attend McGill University,None,Master's OR Second-entry professional degree,Over 150 fields (MA/MBA/MEng/MSc/MSW/LLM/etc),Graduate student,Not specified,English proficiency required (McGill instruction),No,Not applicable,27600,27600,CAD,Varies by program (typically 24),Scholarship,Full tuition & fees covered,2300 CAD per month during academic terms,Health insurance included,Yes - relocation grant provided,Optional summer funding up to 5000 CAD,130 total awards: 30 full scholarships + 100 finalist/regional,February 2026,June 1 2026,December 2026,Summer/Fall 2027,No fee,Online application via McCall MacBain portal,"Essay responses, CV, transcripts, 2-3 reference letters, video introduction, leadership examples",Leadership + academic excellence + engagement + character,Yes - multiple interview rounds,~2% for full scholarship,Yes - dedicated mentorship,Yes - extensive network,Yes - leadership development program,Yes - cohort-based,Must study at McGill (Montreal),No,Not mandatory but encouraged,No,Renewable for program duration,No,https://www.mcgill.ca/gradapplicants/funding/external/mccall-macbain-scholarship,https://www.mccallmacbain.org/the-scholarship/,scholars@mccallmacbain.org,Not specified,2026-02-13,Official website verified 2026-02-13,Total value ~CAD 100k+ over 2 years; 10 international full scholarships; leadership development; McGill #1 in Canada
OP0036,NIH Fogarty LAUNCH Fellowship,U.S. National Institutes of Health - Fogarty International Center,Fellowship,United States,North America,U.S. citizens OR permanent residents,All African countries (via partner institutions),U.S. citizen OR U.S. permanent resident,Must be affiliated with U.S. or partner LMIC institution,None,Doctoral OR Postdoctoral,Global health research,Early-career researcher,Not specified,English proficiency,No,Not applicable,Not specified,60000,USD,12,Fellowship,Not specified,Estimated 45000-60000 USD per year,Yes,Yes - international research travel,Yes - research costs covered,~40 fellows annually across 7 consortia,Varies by consortium,Varies by consortium (typically Jan-Mar),Varies by consortium,Summer/Fall following application,No fee,Apply through one of 7 consortia programs,"CV, research proposal, transcripts, 3 reference letters, mentor agreement, institutional support",Research quality + global health impact + feasibility + mentorship plan + career development,Yes - consortium stage,~15%,Yes - required mentorship,Yes - global health network,Yes - structured training,Yes - cohort within consortium,Must conduct research in LMIC (typically 6-12 months),No,Yes - dissertation or postdoc research,Yes - expected publications,Typically 12 months non-renewable,Possible extension with justification,https://www.fic.nih.gov/Programs/Pages/scholars-fellows-global-health.aspx,https://www.fic.nih.gov/Funding/Pages/Fogarty-Funding-Opps.aspx,FIC-Training@mail.nih.gov,+1-301-496-1653,2026-02-13,Official NIH Fogarty website verified 2026-02-13,7 consortia: ACHIEVE, Global Health Emerging Scholars, INSIGHT, NPGH LEADERs, HBNU, UJMT, GLOCAL; strong Africa partnerships; global health focus
OP0037,Fulbright U.S. Student Program,U.S. Department of State Bureau of Educational & Cultural Affairs,Fellowship,United States,North America,U.S. citizens only,All African countries available as host locations,U.S. citizen,No restrictions,None,Bachelor's degree holders OR graduate students,All fields,Graduate student OR recent graduate,Not specified,English + host country language recommended,No,Not applicable,Not specified,40000,USD,Varies (9-12 months typically),Fellowship,Varies by country,Monthly stipend varies by country (approx. 1500-3000 USD/month),Yes,Yes - round-trip travel,Yes - research allowance,~1900 awards annually to 140+ countries,March 2026,Mid-October 2026,March-April 2027,August-September 2027,No fee,Online application via Fulbright portal,"Statement of purpose, personal statement, CV, transcripts, 3 reference letters, project proposal, affiliation letter",Academic/professional achievement + feasibility of project + ambassador potential + country knowledge,Yes - if shortlisted,~20%,Yes,Yes - global Fulbright network,Yes - cultural exchange,Yes - annual cohort,Must conduct research/study in host country,No - but encouraged,Yes - research or study project,No,Non-renewable - one-time award,No,https://us.fulbrightonline.org/,https://apply.iie.org/,fulbright@state.gov,+1-202-632-3238,2026-02-13,Official Fulbright website verified 2026-02-13,Over 400k alumni since 1946; 62 Nobel laureates; available in 140+ countries including all African nations; research/study/teaching
OP0038,Ford Foundation Fellowship (Predoctoral),National Academies of Sciences Engineering & Medicine,Fellowship,United States,North America,U.S. citizens OR nationals OR DACA students,Not specifically African-focused but open,U.S. citizen OR U.S. national OR DACA recipient,Must attend accredited U.S. institution,None,Doctoral (PhD or ScD),Research-based doctorate in STEM or social sciences,Graduate student - PhD track,Not specified,English proficiency,No,Not applicable,27000,27000,USD,36,Fellowship,Not specified,27000 USD per year stipend,Not specified,Conference travel support,Institutional allowance 2000 USD,60 awards annually,September 2026,Early December 2026,March 2027,August-September 2027,No fee,Online application via National Academies portal,"Personal statement, previous research, research plan, transcripts, 3 reference letters",Academic excellence + commitment to diversity + research potential + overcoming barriers,No - paper review only,~4%,Yes,Yes - Fellows community,Yes - annual conference,Yes - Fellows cohort,Must study in U.S.,No,Yes - doctoral research,No,Renewable annually for 3 years,No,https://www.nationalacademies.org/our-work/ford-foundation-fellowships,https://nrc58.nas.edu/FordFellows20/ExtRpts/PressReleaseRoster.aspx?RptMode=AW,FordFellowships@nas.edu,+1-202-334-2872,2026-02-13,Official National Academies website verified 2026-02-13,USD 81k total over 3 years; focuses on underrepresented groups in academia; diversity in research
OP0039,Cornell University Graduate School Fellowships,Cornell University,Fellowship,United States,North America,Open to all,All African countries eligible,No restrictions - international welcome,Must be admitted to Cornell graduate program,None,Doctoral (PhD),All fields,Graduate student,Not specified,English proficiency (TOEFL/IELTS),No,Not applicable,60719,60719,USD,12,Fellowship,Full tuition waiver,60719 USD per year (2026-27 rate),Yes,Not specified,Not specified,97% of PhD students receive full funding,October 2025,December 1 2025 (most programs),February-March 2026,August 2026,Application fee ~105 USD,Apply via Cornell Graduate School online system,"Statement of purpose, CV, transcripts, 3 reference letters, writing sample (if required), GRE (optional for most)",Academic merit + research fit + potential for impact,Varies by program,Varies by program (10-25%),Yes,Yes,Yes,Yes - by cohort year,Must be enrolled at Cornell,Varies by field,Yes,No,Renewable annually for 5-6 years (PhD),Yes - up to 6-7 years with justification,https://gradschool.cornell.edu/financial-support/graduate-funding-and-enrollment/,https://gradschool.cornell.edu/admissions/,gradadmissions@cornell.edu,+1-607-255-4884,2026-02-13,Official Cornell Graduate School website verified 2026-02-13,97% PhD funding rate; 2026-27 stipend $60719/year; full tuition + health insurance; Ivy League institution
OP0040,Princeton University Graduate Fellowships,Princeton University,Fellowship,United States,North America,Open to all,All African countries eligible,No restrictions - international welcome,Must be admitted to Princeton PhD program,None,Doctoral (PhD),All fields,Graduate student,Not specified,English proficiency required,No,Not applicable,46000,48000,USD,12,Fellowship,Full tuition waiver,46000-48000 USD per year,Yes,Not specified,Not specified,All admitted PhD students receive full funding,September 2025,December 1-15 2025 (varies by dept),February-March 2026,September 2026,Application fee ~90 USD,Apply via Princeton Graduate School online portal,"Statement of purpose, CV, transcripts, 3 reference letters, writing sample (humanities), GRE (optional most depts)",Academic excellence + research potential + fit with faculty + intellectual ambition,Varies by program,~5%,Yes,Yes,Yes,Yes - by cohort,Must be enrolled at Princeton,No for first 2 years; may TA years 3+,Yes,No,Renewable annually for 5 years (most programs),Possible for 6th year with dept approval,https://gradschool.princeton.edu/financial-support/fellowships,https://gradschool.princeton.edu/admission,gradschool@princeton.edu,+1-609-258-3034,2026-02-13,Official Princeton Graduate School website verified 2026-02-13,All admitted PhD students funded; $46-48k/year stipend; full tuition + health; Ivy League; #1 U.S. News ranking
