opportunity_id,opportunity_name,institution_name,program_type,country,region,nationality_eligibility,target_career_stage,target_demographics,field_of_study,minimum_education,age_restrictions,gender_focus,language_requirements,citizenship_required,work_experience_required,currency_code,funding_amount_min,funding_amount_max,funding_amount_typical,funding_covers,duration_months,renewable,payment_schedule,application_deadline,deadline_frequency,next_deadline,start_date,is_cohort_based,cohort_size,application_opens,notification_date,application_method,requires_proposal,requires_letters,requires_transcripts,requires_cv,requires_interview,nomination_required,requires_host,application_fee,selection_criteria,includes_mentorship,includes_networking,includes_training,includes_travel,career_support,alumni_network,equipment_access,official_website,application_url,additional_info_url,last_verified_date,special_features,notes
BATCH2_001,Erasmus Mundus Joint Masters,European Commission,Scholarship,Multiple,Europe,Open to all,Master's,All,All Fields,Bachelor's,None,All,English | Multiple languages,No,None,EUR,,,25000,Tuition + Stipend + Travel,24,No,Monthly,2026-01-31,Annual,2026-01-31,2026-09-01,Yes,Varies by program,2025-10-01,2026-03-15,Online portal,Yes,2,Yes,Yes,Varies by program,No,No,None,Academic merit | Motivation | Research potential,Yes,Yes,Yes,Yes,Yes,Yes,Library access | Lab access,https://erasmus-plus.ec.europa.eu/opportunities/opportunities-for-individuals/students/erasmus-mundus-joint-masters,https://erasmus-plus.ec.europa.eu/,https://www.em-a.eu/,2026-02-13,Prestigious international joint master's degrees delivered by consortium of universities; Study in at least 2 European countries; Automatic double or multiple degree,Over 150 programs available across all disciplines; Delivered by groups of higher education institutions; Cultural diversity and international experience; Strong focus on quality and innovation
BATCH2_002,Marie Curie MSCA Postdoctoral Fellowships,European Commission,Fellowship,Multiple,Europe,Open to all,Postdoc,All,All Fields,PhD,Max 8 years post-PhD,All,English,Varies by fellowship type,None,EUR,,,60000,Stipend + Research costs + Travel,12-36,No,Monthly,2026-09-09,Annual,2026-09-09,Flexible,No,Not specified,2026-04-09,2027-02-10,Online portal,Yes,No,No,Yes,No,No,Yes,None,Academic excellence | Research quality | Career development | International mobility,Yes,Yes,Yes,Yes,Yes,Yes,Lab access | Research facilities,https://marie-sklodowska-curie-actions.ec.europa.eu/actions/postdoctoral-fellowships,https://ec.europa.eu/info/funding-tenders/opportunities/portal/,https://marie-sklodowska-curie-actions.ec.europa.eu/,2026-02-13,European and Global fellowships available; Mobility within Europe or to/from non-associated countries; Additional support for placements in non-academic sector; Living mobility and family allowances,17000+ applications in 2025; European Fellowships 12-24 months in Europe; Global Fellowships 24-36 months with mandatory return phase; Seal of Excellence for high-scoring unfunded proposals
BATCH2_003,Eiffel Excellence Scholarship,French Ministry for Europe and Foreign Affairs,Scholarship,France,Europe,Open to all (priority to developing countries),Master's | PhD,All,Engineering | Economics | Law | Political Science | Specific priority fields,Bachelor's (Master's) | Master's (PhD),Max age: 29 (Master's) | Max age: 35 (PhD),All,English | French,No,None,EUR,,,1200,Living allowance + Travel + Insurance,12-36,No,Monthly,2026-01-08,Annual,2026-01-08,2026-09-01,No,Not specified,2025-10-01,2026-03-30,Through French institution,Yes,2-3,Yes,Yes,Yes,Yes,No,None,Academic excellence | Development potential | French institution nomination,No,Yes,No,Yes,No,Yes,Not specified,https://www.campusfrance.org/en/france-excellence-eiffel-scholarship-program,https://www.campusfrance.org/en/,https://www.campusfrance.org/en/bursaries-foreign-students,2026-02-13,Applications submitted by French higher education institutions only; Priority areas attract future foreign decision-makers; International transport assistance included,Monthly allowance of €1200 from January 2026; Managed by Campus France; Strong focus on priority fields; Must be nominated by French institution; Cannot apply directly
BATCH2_004,Swedish Institute Scholarships for Global Professionals,Swedish Institute,Scholarship,Sweden,Europe,Regional: 34 developing countries (Africa Asia Latin America Eastern Europe),Master's,All,Governance | Public Health | Entrepreneurship | Innovation | STEM,Bachelor's,None,All,English,Yes,3000 hours (most countries),SEK,,,12000,Tuition + Stipend + Travel,12-24,No,Monthly,2026-02-25,Annual,2026-02-25,2026-08-01,Yes,200,2026-01-15,2026-04-23,Online portal,Yes,2,Yes,Yes,No,No,No,None,Academic merit | Leadership | Work experience | Contribution to home country development,Yes,Yes,Yes,Yes,Yes,Yes,Not specified,https://si.se/en/apply/scholarships/swedish-institute-scholarships-for-global-professionals/,https://apply-scholarships.si.se/,https://si.se/en/apply/faq-scholarships-on-masters-level/,2026-02-13,Fully funded for citizens of 34 developing countries; SEK 12000/month living allowance plus SEK 15000 travel grant; Requires demonstrated work and leadership experience; SI Network for Global Professionals membership,Must be liable for tuition fees; 3000 hours work experience required for most countries; Focus on sustainable development; Must first apply to Swedish university then to SI; Eligible programs published November 2025
BATCH2_005,ETH Zurich Excellence Scholarship (ESOP),ETH Zurich,Scholarship,Switzerland,Europe,Open to all,Master's,All,STEM | Engineering | Architecture,Bachelor's,None,All,English | German,No,None,CHF,,,12000,Tuition waiver + Stipend,18-24,No,Per semester,2026-11-30,Annual,2026-11-30,2027-09-01,Yes,60,2026-11-01,2027-03-31,Online portal,Yes,2,Yes,Yes,Yes,No,No,None,Academic excellence (top 10% of bachelor program) | Research potential,Yes,Yes,No,No,No,Yes,Lab access | Computing resources,https://ethz.ch/students/en/studies/financial/scholarships/excellencescholarship.html,https://www.lehrbetrieb.ethz.ch/eApply/ealogin.view,https://ethz.ch/content/dam/ethz/main/education/finanzielles/files-en/guidelines_preproposal.pdf,2026-02-13,CHF 12000 per semester plus tuition fee waiver; Includes mentorship and ETH Foundation network; Pre-proposal for master's thesis required; Approximately 60 scholarships annually,Highly competitive for world's top technical university; Must be in top 10% of bachelor program; Covers full study and living costs for duration; Automatic consideration through master application
BATCH2_006,DAAD Study Scholarships,German Academic Exchange Service,Scholarship,Germany,Europe,Developing countries and industrialized countries,Master's,All,All Fields,Bachelor's,None,All,German | English,No,2 years (for developing countries),EUR,,,850,Living allowance + Health insurance + Travel,12-24,No,Monthly,2025-10-31,Annual,2025-10-31,2026-10-01,No,Not specified,2025-08-01,2026-04-01,Online portal,Yes,2,Yes,Yes,No,No,No,None,Academic merit | Development relevance | Motivation,Yes,Yes,Yes,Yes,Yes,Yes,Not specified,https://www.daad.de/en/studying-in-germany/scholarships/,https://www2.daad.de/deutschland/stipendium/datenbank/en/21148-scholarship-database/,https://www.daad.de/en/studying-in-germany/scholarships/daad-scholarships/,2026-02-13,Wide range of scholarships for all academic disciplines; Development-related postgraduate courses (EPOS) available; Research grants for PhD candidates and postdocs,€850-934 monthly depending on degree level; Includes payments towards health insurance; Language course funding available; Usually starts October 1; Strong preference for return to home country
BATCH2_007,TU Delft Excellence Scholarships,Delft University of Technology,Scholarship,Netherlands,Europe,Open to all (non-EEA),Master's,All,Engineering | Technology | Design,Bachelor's,None,All,English,No,None,EUR,,,30000,Tuition + Stipend,24,No,Annual,2026-02-01,Annual,2026-02-01,2026-09-01,No,Not specified,2025-12-01,2026-06-01,Online portal (via TU Delft admission),Yes,2,Yes,Yes,No,No,No,None,Academic excellence | Motivation | Admission to 2-year MSc program,No,Yes,No,No,No,Yes,Lab access | Research facilities,https://www.tudelft.nl/en/education/study-programme-orientation/practical-matters/scholarships,https://www.tudelft.nl/en/education/admission-and-application,https://www.tudelft.nl/en/education/study-programme-orientation/practical-matters/scholarships/justus-louise-van-effen-excellence-scholarships,2026-02-13,Justus & Louise van Effen Excellence Scholarships; €30000/year for outstanding international students; Must be admitted to 2-year MSc program at TU Delft,Leading technical university in Netherlands; Automatic consideration through admission; Notification mid-March to early June; Must have bachelor degree equivalent from institution of international standing
BATCH2_008,Swiss Government Excellence Scholarships,Swiss Federal Commission for Scholarships,Fellowship,Switzerland,Europe,Open to all,Postdoc | PhD,All,All Fields,Master's (for PhD) | PhD (for Postdoc),None,All,English | German | French | Italian,No,None,CHF,,,1920,Living allowance + Tuition waiver + Health insurance,12,No,Monthly,2025-12-15,Annual,2025-12-15,2026-09-01,No,Not specified,2025-09-01,2026-05-01,Online portal | Through Swiss embassy,Yes,2,Yes,Yes,No,No,Yes,None,Academic merit | Research quality | Swiss host institution support,Yes,No,No,Yes,No,No,Research facilities,https://www.sbfi.admin.ch/en/swiss-government-excellence-scholarships,https://www.sbfi.admin.ch/en/swiss-government-excellence-scholarships-at-a-glance,https://www.sbfi.admin.ch/en/,2026-02-13,For talented early career researchers from abroad; PhD completion between Jan 2023 and July 2026 for postdocs; Research scholarship at Swiss universities; 12 months maximum,CHF 1920 monthly allowance; Full tuition fee exemption; Annual half-fare SBB rail card; Must secure Swiss host institution; Detailed research plan required; Application through Swiss embassy or consulate
BATCH2_009,Imperial College President's PhD Scholarships,Imperial College London,Scholarship,United Kingdom,Europe,Open to all,PhD,All,All research areas,Bachelor's (first class or equivalent),None,All,English,No,None,GBP,,,26500,Tuition + Stipend + Research consumables,36-48,No,Annual,2026-01-15,Annual,2026-01-15,2026-10-01,No,50,2025-11-01,2026-04-01,Online portal,Yes,2,Yes,Yes,Yes,No,No,None,Academic excellence | Research potential | First class honors degree,Yes,Yes,Yes,No,Yes,Yes,Lab access | Computing resources | Research facilities,https://www.imperial.ac.uk/study/fees-and-funding/postgraduate-doctoral/grants-scholarships/presidents-phd/,https://www.imperial.ac.uk/study/pg/apply/,https://www.imperial.ac.uk/study/fees-and-funding/,2026-02-13,50 prestigious fully funded PhD positions annually; £26500 stipend (2026-27 rate) plus £3000 consumables fund; All research areas eligible; Opportunity to work with world-leading supervisors,Full tuition fees covered; Additional funding for research and conference attendance; Must have first-class undergraduate degree or equivalent; Masters degree preferred with distinction; Part of one of UK's top research universities
BATCH2_010,Leiden University Excellence Scholarship (LExS),Leiden University,Scholarship,Netherlands,Europe,Open to all (non-EEA/EFTA),Master's,All,All Fields,Bachelor's,None,All,English,No,None,EUR,,,19000,Tuition reduction (€10000 or €15000) or Full tuition waiver,12-24,No,Annual,2026-02-01,Annual,2026-02-01,2026-09-01,No,25,2025-12-01,2026-04-01,Online portal (via Leiden admission),Yes,2,Yes,Yes,No,No,No,None,Academic excellence (minimum 15/20 grade average) | Motivation,No,Yes,No,No,No,Yes,Library access,https://www.universiteitleiden.nl/en/scholarships/sea/leiden-university-excellence-scholarship-lexs,https://www.universiteitleiden.nl/en/education/admission-and-application,https://www.universiteitleiden.nl/en/scholarships,2026-02-13,Highly competitive merit-based scholarship; Only 25 LExS scholarships annually from 1000+ applications; Three tiers: €10000 €15000 or full tuition waiver; Minimum average grade 15/20 in last 3 academic years,Must be admitted to Leiden master program; Automatic consideration through admission application; One of Netherlands' oldest universities (founded 1575); Strong international reputation
