opportunity_id,opportunity_name,institution_name,program_type,country,region,nationality_eligibility,african_countries_eligible,citizenship_requirements,residency_requirements,age_limit,academic_level,field_of_study,career_stage,minimum_gpa,language_requirements,work_experience_required,work_experience_minimum,award_amount_min,award_amount_max,award_currency,funding_duration_months,funding_type,tuition_coverage,stipend_amount,health_insurance_included,travel_allowance_included,research_budget_included,number_of_awards,application_opens,application_deadline,notification_date,program_start_date,application_fee,application_process,required_documents,selection_criteria,interview_required,acceptance_rate,mentorship_included,networking_opportunities,professional_development,cohort_based,mobility_requirements,teaching_requirements,research_requirements,publication_requirements,renewable,extension_possible,official_website,application_portal,contact_email,contact_phone,last_verified_date,data_source,notes
OP0061,L'Oréal-UNESCO For Women in Science International Awards,L'Oréal Foundation - UNESCO,Fellowship,Multiple countries,Global,Women scientists only,All African countries eligible,No restrictions - women scientists globally,No restrictions,None,Postdoctoral OR established researcher,Life Sciences OR Physical Sciences OR Mathematics,Mid-career OR senior researcher,Not specified,English OR French proficiency,Yes,Not specified - must have significant research record,100000,100000,EUR,12,Fellowship,Not applicable - career award,100000 EUR total prize (not annual stipend),Not specified,Not specified,Not specified,5 awards annually (one per continent),May 12 2025,July 7 2025,October 2025,Award ceremony early 2026,No fee,Nomination by scientific academy or equivalent body,"Nomination form, CV, publication list, research statement, 3 reference letters",Outstanding scientific achievement + impact on knowledge + leadership in field + gender equality advocacy,No - nomination review only,<1% (extremely prestigious),Yes - global network,Yes - extensive,Yes - visibility platform,No,No restrictions,No,Yes - established research program,Yes - significant publication record required,Non-renewable - one-time award,No,https://www.forwomeninscience.com/,https://www.forwomeninscience.com/challenge/show/139,fwis@loreal.com,+33-1-47-56-40-00,2026-02-13,Official L'Oréal-UNESCO website verified 2026-02-13,EUR 100k prize per laureate; 5 laureates annually (Africa/Arab States/Asia-Pacific/Europe/Latin America); 27 years history; Nobel-level prestige; women in science
OP0062,OWSD-Elsevier Foundation Awards for Early Career Women Scientists,Organisation for Women in Science for the Developing World - Elsevier Foundation,Fellowship,Developing countries,Global (developing countries),Women scientists from developing countries only,All African developing countries eligible,Must be citizen of developing country,Must be working in developing country,None,Postdoctoral (recently completed PhD),Sustainable energy OR water OR food security (STEM focus),Early-career researcher (within 10 years of PhD),Not specified,English proficiency,No,Not applicable,5000,5000,USD,12,Fellowship,Not applicable - recognition award,5000 USD total prize + travel to award ceremony,Not specified,Yes - to award ceremony,Not specified,5 awards annually,January 2026,March 31 2026,June 2026,Award ceremony August-September 2026,No fee,Online application via OWSD portal,"Application form, CV, PhD certificate, publication list, research statement, 2 reference letters, institutional support letter",Scientific achievement + research quality + impact on sustainable development + women's empowerment,No,~2%,Yes - OWSD network,Yes - global network,Yes - visibility,No,Must be based in developing country,No,Yes - active research program,Yes - strong publication record required,Non-renewable - one-time award,No,https://owsd.net/awards,https://owsd.net/awards,awards@owsd.net,+39-040-2240-327,2026-02-13,Official OWSD website verified 2026-02-13,USD 5k prize + trip to award ceremony; 5 laureates annually; focus on sustainable development (energy/water/food); women from Global South only
OP0063,OWSD Early Career Fellowship,Organisation for Women in Science for the Developing World,Fellowship,Developing countries (must work at home institution),Global (developing countries),Women scientists from developing countries only,All African developing countries eligible,Must be citizen of developing country,Must be employed at institution in developing country,None,Postdoctoral (PhD completed),STEM fields (Science/Technology/Engineering/Mathematics),Early-career researcher (within 5 years of PhD completion),Not specified,English proficiency,No,Not applicable,50000,50000,USD,24,Fellowship,Not applicable - postdoc research support,Up to 50000 USD total over 2 years for research,Not specified,Not specified,Yes - 50k research budget,Not specified - competitive,January annually,March 31 annually,July annually,Flexible - within 6 months of award,No fee,Online application via OWSD portal,"Application form, CV, PhD certificate, research proposal, budget, publication list, 2 reference letters, institutional support letter",Research quality + feasibility + impact on home country + leadership potential + women's empowerment,No,~5%,Yes - OWSD network + mentorship,Yes,Yes - leadership training,No,Must conduct research at home institution in developing country,No,Yes - 2-year research project,Yes - publication expected,Non-renewable - 2 years fixed,No,https://owsd.net/early-career-fellowship,https://owsd.net/early-career-fellowship,ecf@owsd.net,+39-040-2240-327,2026-02-13,Official OWSD website verified 2026-02-13,Up to USD 50k over 2 years; research support for postdocs; must work at home institution; STEM fields; women from developing countries; leadership training included
OP0064,Schlumberger Foundation Faculty for the Future Fellowship,Schlumberger Foundation,Fellowship,Developing and emerging economies,Global (developing/emerging),Women from developing/emerging economies only,All African countries eligible (check eligibility list),Must be citizen of developing or emerging economy,No restrictions - can study anywhere,None,Doctoral (PhD) OR Postdoctoral,STEM fields (Science/Technology/Engineering/Mathematics),PhD student OR postdoc,Strong academic record,English OR host country language,No,Not applicable,Not specified,50000,USD,Varies (typically 24-48 for PhD),Fellowship,Partial OR full tuition support (varies),Varies by location and program (typically ~30-50k USD per year),Varies,Yes - travel to host institution,Varies,~50 fellowships annually,September 1 2025,November 7 2025,February 2026,August-September 2026,No fee,Online application via FFTF portal,"Application form, CV, academic transcripts, research proposal, admission letter (or applied proof), 3 reference letters (deadline Nov 14), STEM outreach evidence",Academic excellence + leadership potential + STEM outreach + gender equality commitment + return home intention,Yes - shortlisted candidates,~5%,Yes - dedicated mentorship,Yes - global network of 965+ Fellows,Yes - leadership development,Yes - annual cohort,Can study anywhere (typically at top universities globally),No,Yes - PhD or postdoc research,Yes - publication encouraged,Renewable annually with good progress,Possible with justification,https://www.facultyforthefuture.net/,https://www.fftf.slb.com/,info@slbfoundation.org,Not specified,2026-02-13,Official Schlumberger Foundation website verified 2026-02-13,~50 fellowships/year; 965+ Fellows from 95 countries since 2004; USD 30-50k/year typical support; women in STEM; developing/emerging economies; return home encouraged
OP0065,Royal Society FLAIR Fellowships,Royal Society - African Academy of Sciences,Fellowship,Sub-Saharan Africa,Africa,Sub-Saharan African nationals only,Sub-Saharan Africa countries only (check AAS list),Must be citizen of sub-Saharan African country,Must conduct research at sub-Saharan African institution,None,Postdoctoral (2-8 years post-PhD),All fields,Early-career independent researcher,Not specified,English proficiency,Yes,24 months post-PhD minimum,150000,150000,GBP,24,Fellowship,Not applicable - independent researcher support,Up to 150000 GBP per year for 2 years (total 300k GBP),Yes,Yes,Yes - full research costs,~10 awards annually,November 2025,March 11 2026,June 2026,September 2026,No fee,Online application via Royal Society portal,"Application form, CV, research proposal, publication list, host institution letter, 3 reference letters, budget justification",Research excellence + independence potential + leadership + impact on Africa + institutional support,Yes - shortlisted candidates,~8%,Yes - Royal Society network,Yes,Yes - leadership training,Yes - FLAIR cohort,Must be based in sub-Saharan Africa,No,Yes - independent research program,Yes - publication expected,Renewable for second 2-year term (total 4 years possible),Yes - second term application required,https://royalsociety.org/grants/flair/,https://royalsociety.org/grants/flair/,flair@royalsociety.org,+44-20-7451-2500,2026-02-13,Official Royal Society website verified 2026-02-13,GBP 150k/year × 2 years (GBP 300k total); renewable for 2nd term (GBP 600k total over 4 years); sub-Saharan Africa only; independent research; leadership development
OP0066,TWAS-DFG Cooperation Visits Programme,The World Academy of Sciences - German Research Foundation,Fellowship,Sub-Saharan Africa to Germany,Africa-Germany,Sub-Saharan African postdocs only,Sub-Saharan Africa countries only,Must be citizen of sub-Saharan African country,Must be based in sub-Saharan Africa,Under 40 recommended,Postdoctoral,All fields,Early-career postdoc,Not specified,English OR German proficiency,No,Not applicable,Not specified,3000,EUR,3,Fellowship,Not applicable - short-term visit,Monthly subsistence allowance + accommodation support,Yes,Yes - international airfare,Research collaboration support,Not specified - competitive,January 2026,April 15 2026,June 2026,Flexible within 2026,No fee,Apply via TWAS online portal,"Application form, CV, research proposal (up to 5 pages), invitation letter from German host, recommendation letter from home institution head, 2 additional references",Research collaboration potential + scientific merit + capacity building + benefit to Africa + host support,No,~15%,Yes - German research collaboration,Yes,Yes - research collaboration,No,3-month visit to Germany; must return to Africa,No,Yes - collaborative research project,No,Non-renewable - one-time 3-month visit,No,https://twas.org/opportunity/twas-dfg-cooperation-visits-programme-ssa,https://twas.org/opportunity/twas-dfg-cooperation-visits-programme-ssa,twas@twas.org,+39-040-2240-327,2026-02-13,Official TWAS website verified 2026-02-13,3-month research visit to Germany; sub-Saharan Africa postdocs; EUR 3k/month subsistence; initiates long-term collaboration; must return to Africa
OP0067,Schmidt Science Fellows,Schmidt Sciences - Rhodes Trust,Fellowship,Global,Global,Open to all,All African countries eligible,No restrictions - international applicants,Must complete PhD between May 2026-June 2027,None,Postdoctoral,STEM fields OR social sciences (interdisciplinary pivot required),Postdoctoral (PhD just completed),Strong academic record,English proficiency,No,Not applicable,100000,100000,USD,12,Fellowship,Not applicable - postdoc research,~100000 USD per year stipend + research costs,Yes,Yes,Yes - research budget included,~30 fellows annually,Application opens spring 2026,May 15 2026 (institutional nomination) OR July 13 2026 (full application),February 2027,July OR October 2027,No fee,Institutional nomination then full application,"Nomination form (by institution), full application (CV, research plan, transcripts, 3 references, interdisciplinary pivot proposal)",Academic excellence + interdisciplinary potential + leadership + societal impact + pivot feasibility,Yes - multiple rounds,~2%,Yes - extensive,Yes - global network,Yes - leadership + science communication training,Yes - cohort-based,Can work anywhere globally (typically top research institutions),No,Yes - 1-year postdoc in different discipline,Yes - publication encouraged,Non-renewable - 1 year,No,https://schmidtsciencefellows.org/,https://schmidtsciencefellows.org/selection/how-to-apply/,fellows@schmidtsciences.org,+44-1865-270-556,2026-02-13,Official Schmidt Science Fellows website verified 2026-02-13,USD 100k/year; ~30 Fellows/year; interdisciplinary pivot required; PhD completed May 2026-June 2027; global network; leadership training; extremely prestigious
OP0068,Pan African University Scholarships,African Union Commission,Scholarship,Africa (PAU campuses),Africa,African Union member states + African diaspora,All African Union member countries,Must be citizen of African Union member state OR African diaspora,No restrictions - study at PAU campuses across Africa,Under 28 for male OR under 30 for female (Master's) OR under 35 (PhD),Master's OR Doctoral,Varies by PAU institute (STEM/governance/health/agriculture/space),Graduate student,Strong academic record,English OR French OR Arabic (depends on campus),No,Not applicable,Not specified,Not specified,Not specified,24 for Master's OR 48 for PhD,Scholarship,Full tuition covered,Full living stipend + accommodation,Yes,Yes,Varies,Not specified - competitive,October 2025,January 31 2026,April 2026,September 2026,No fee,Online application via African Union portal,"Application form, CV, academic transcripts, recommendation letters (2), research proposal (PhD), motivation letter",Academic excellence + research potential + Africa development commitment + leadership,Varies by institute,Varies by institute and program,Yes,Yes - Pan-African network,Yes,Yes - PAU cohort,Must study at PAU campus (Kenya/Nigeria/Cameroon/Algeria/South Africa),No,Yes - thesis research,No,Renewable annually,Possible,https://pau-au.africa/,https://www.au-pau.org/submission/,pau@africa-union.org,+254-20-366-6000,2026-02-13,Official PAU website verified 2026-02-13,Full scholarship (tuition + stipend + accommodation); 5 PAU institutes across Africa; African Union member states + diaspora; age limits apply; Pan-African focus
OP0069,Mandela Washington Fellowship for Young African Leaders,U.S. Department of State,Fellowship,United States,North America (for Africans),Sub-Saharan African citizens (25-35 years),Sub-Saharan Africa countries only,Must be citizen of sub-Saharan African country,Must be living and working in sub-Saharan Africa,25-35 years old,Not applicable - leadership program (not degree),Business/Civic Leadership/Public Management,Mid-career professional (3+ years experience),Not specified,English proficiency required,Yes,36 months professional experience,Not specified,Not specified,USD,6 weeks,Fellowship,Not applicable - short-term leadership program,All costs covered (travel + accommodation + program),Yes,Yes - round-trip to U.S.,Not specified,~700 fellows annually,December 2025,TBA 2026 (typically February-March),May-June 2026,June-August 2026,No fee,Online application via U.S. State Department portal,"Application form, CV, essays, professional references, English proficiency proof, leadership examples",Leadership potential + professional accomplishment + civic engagement + English proficiency + U.S. commitment,Yes - virtual and in-person rounds,~10%,Yes - U.S. mentors,Yes - YALI network (60k+ alumni),Yes - 6-week intensive leadership program,Yes - cohort-based,6 weeks in U.S. at host university; must return to Africa,No,Optional internship or professional development,No,Non-renewable - one-time 6-week program,No,https://www.mandelawashingtonfellowship.org/,https://www.mandelawashingtonfellowship.org/,mandelawashington@irex.org,+1-202-628-8188,2026-02-13,Official Mandela Washington Fellowship website verified 2026-02-13,NOTE: Fellowship will NOT take place in 2026 (confirmed on official website); ~700 fellows when active; 6-week leadership program; sub-Saharan Africa 25-35 years; YALI network
OP0070,Google PhD Fellowship Program,Google Research,Fellowship,Multiple countries,Global,Open to all,All African countries eligible,No restrictions - must be enrolled in accredited university,Must be enrolled at accredited PhD program,None,Doctoral (PhD),Computer Science OR related fields (AI/ML/systems/theory/HCI),PhD student (typically 2nd-4th year),Strong academic record,English proficiency,No,Not applicable,70000,85000,USD,24,Fellowship,70000 USD per year cost of education allowance,Not a separate stipend (70k education allowance covers stipend),Yes,Yes - conference travel,Yes - research costs in allowance,~50 fellowships annually globally,February 2026,April 24 2026 (institutional deadline),July 2026,September 2026,No fee,Institutional nomination required (limited slots per university),"Nomination by university, CV, research statement, publication list, 3 reference letters, academic transcripts",Research excellence + innovation potential + publication record + Google research alignment,Yes - by Google Research,<5% (highly competitive),Yes - Google Research mentor,Yes - Google network,Yes,Yes - Fellows cohort,Must be enrolled in PhD program (any location),No,Yes - doctoral research,Yes - strong publication record expected,Renewable for 2nd year,No - maximum 2 years,https://research.google/programs-and-events/phd-fellowship/,https://googlefellowships.submittable.com/,phd-fellowship@google.com,Not specified,2026-02-13,Official Google Research website verified 2026-02-13,USD 70k/year education allowance × 2 years; ~50 Fellows globally; computer science focus; Google Research mentorship; institutional nomination required
